,Name,Succ,Fail,Send Rate (TPS),Max Latency (s),Min Latency (s),Avg Latency (s),Throughput (TPS),Rate
0,open,1000,0,100.4,1.44,0.21,0.78,95.2,100
1,query,1000,0,100.3,0.06,0.0,0.0,100.3,100
2,transfer,1000,0,100.4,1.26,0.13,0.7,95.3,100
0,open,1000,0,100.4,1.24,0.13,0.68,94.3,100
1,query,1000,0,100.4,0.05,0.0,0.0,100.3,100
2,transfer,1000,0,100.2,1.26,0.12,0.7,95.5,100
0,open,1000,0,100.3,1.23,0.14,0.65,92.8,100
1,query,1000,0,100.2,0.06,0.0,0.0,100.1,100
2,transfer,1000,0,100.4,1.23,0.1,0.68,95.1,100
0,open,1000,0,100.4,1.16,0.12,0.64,92.6,100
1,query,1000,0,100.3,0.02,0.0,0.0,100.3,100
2,transfer,1000,0,100.4,1.2,0.11,0.66,95.0,100
0,open,1000,0,100.5,1.18,0.1,0.63,93.2,100
1,query,1000,0,100.4,0.02,0.0,0.0,100.4,100
2,transfer,1000,0,100.4,1.18,0.12,0.66,94.6,100
0,open,1000,0,1004.0,1.81,1.1,1.42,430.3,1000
1,query,1000,0,986.2,0.01,0.0,0.0,984.3,1000
2,transfer,1000,0,983.3,2.83,1.24,2.02,328.3,1000
0,open,1000,0,1004.0,1.81,1.01,1.39,446.8,1000
1,query,1000,0,1000.0,0.03,0.0,0.0,999.0,1000
2,transfer,1000,0,997.0,2.39,1.24,1.85,380.5,1000
0,open,1000,0,987.2,1.78,0.93,1.31,452.7,1000
1,query,1000,0,993.0,0.02,0.0,0.0,992.1,1000
2,transfer,1000,0,976.6,2.8,0.07,2.09,294.0,1000
0,open,1000,0,987.2,1.8,0.92,1.4,443.9,1000
1,query,1000,0,980.4,0.01,0.0,0.0,977.5,1000
2,transfer,1000,0,1000.0,3.92,1.51,2.2,211.5,1000
0,open,1000,0,996.0,1.86,0.9,1.48,417.4,1000
1,query,1000,0,996.0,0.01,0.0,0.0,994.0,1000
2,transfer,1000,0,991.1,2.4,1.4,1.77,382.3,1000
0,open,1000,0,200.8,1.29,0.2,0.75,172.2,200
1,query,1000,0,200.1,0.02,0.0,0.0,200.0,200
2,transfer,1000,0,199.8,1.4,0.19,0.81,179.3,200
0,open,1000,0,200.3,1.33,0.22,0.77,171.6,200
1,query,1000,0,200.4,0.01,0.0,0.0,200.4,200
2,transfer,1000,0,200.4,1.43,0.17,0.82,178.2,200
0,open,1000,0,200.5,1.3,0.18,0.75,171.8,200
1,query,1000,0,200.7,0.03,0.0,0.0,200.6,200
2,transfer,1000,0,200.6,1.37,0.16,0.81,178.6,200
0,open,1000,0,200.7,1.3,0.21,0.75,171.4,200
1,query,1000,0,200.3,0.01,0.0,0.0,200.2,200
2,transfer,1000,0,200.8,1.35,0.15,0.81,179.2,200
0,open,1000,0,200.7,1.38,0.18,0.74,171.1,200
1,query,1000,0,200.6,0.02,0.0,0.0,200.5,200
2,transfer,1000,0,200.5,1.38,0.18,0.82,177.8,200
0,open,1000,0,301.3,1.49,0.31,0.87,252.2,300
1,query,1000,0,300.5,0.02,0.0,0.0,300.3,300
2,transfer,1000,0,299.2,1.58,0.47,0.99,244.7,300
0,open,1000,0,301.3,1.44,0.34,0.86,254.5,300
1,query,1000,0,299.8,0.02,0.0,0.0,299.6,300
2,transfer,1000,0,299.6,1.52,0.45,0.96,244.0,300
0,open,1000,0,300.4,1.5,0.33,0.87,249.7,300
1,query,1000,0,299.2,0.02,0.0,0.0,299.0,300
2,transfer,1000,0,300.6,1.56,0.47,0.99,244.0,300
0,open,1000,0,301.0,1.45,0.28,0.85,252.9,300
1,query,1000,0,300.7,0.01,0.0,0.0,300.6,300
2,transfer,1000,0,298.5,1.58,0.44,0.99,241.8,300
0,open,1000,0,297.7,1.52,0.29,0.87,253.2,300
1,query,1000,0,299.4,0.02,0.0,0.0,299.2,300
2,transfer,1000,0,300.8,1.58,0.44,1.01,243.9,300
0,open,1000,0,401.0,1.65,0.38,0.99,322.0,400
1,query,1000,0,395.7,0.02,0.0,0.0,395.4,400
2,transfer,1000,0,399.7,1.7,0.48,1.02,320.0,400
0,open,1000,0,399.0,1.59,0.43,0.97,322.1,400
1,query,1000,0,397.8,0.02,0.0,0.0,397.5,400
2,transfer,1000,0,401.1,1.69,0.45,1.06,321.8,400
0,open,1000,0,398.9,1.63,0.51,1.0,316.5,400
1,query,1000,0,399.5,0.01,0.0,0.0,399.4,400
2,transfer,1000,0,397.5,2.1,0.46,1.12,277.8,400
0,open,1000,0,395.3,1.72,0.51,1.01,321.1,400
1,query,1000,0,399.4,0.01,0.0,0.0,399.2,400
2,transfer,1000,0,400.8,1.76,0.38,1.1,312.7,400
0,open,1000,0,399.8,1.69,0.5,0.99,326.5,400
1,query,1000,0,394.0,0.02,0.0,0.0,393.5,400
2,transfer,1000,0,401.3,1.68,0.43,1.07,318.1,400
0,open,1000,0,499.3,1.64,0.55,1.05,346.0,500
1,query,1000,0,496.3,0.04,0.0,0.0,495.5,500
2,transfer,1000,0,500.8,1.99,0.32,1.24,352.4,500
0,open,1000,0,500.3,1.68,0.55,1.07,346.3,500
1,query,1000,0,499.5,0.01,0.0,0.0,499.3,500
2,transfer,1000,0,501.8,2.03,0.33,1.24,349.7,500
0,open,1000,0,501.0,1.62,0.57,1.06,345.3,500
1,query,1000,0,494.6,0.01,0.0,0.0,494.1,500
2,transfer,1000,0,501.5,2.1,0.29,1.27,353.4,500
0,open,1000,0,500.8,1.67,0.59,1.09,342.2,500
1,query,1000,0,499.5,0.01,0.0,0.0,499.0,500
2,transfer,1000,0,478.2,1.97,0.26,1.25,356.3,500
0,open,1000,0,500.8,1.6,0.56,1.04,341.4,500
1,query,1000,0,496.5,0.02,0.0,0.0,495.8,500
2,transfer,1000,0,496.8,2.06,0.28,1.3,343.4,500
0,open,1000,0,595.6,1.65,0.66,1.14,372.2,600
1,query,1000,0,595.9,0.01,0.0,0.0,595.6,600
2,transfer,1000,0,599.2,1.88,0.83,1.3,359.1,600
0,open,1000,0,580.4,1.64,0.63,1.18,356.4,600
1,query,1000,0,598.8,0.01,0.0,0.0,597.4,600
2,transfer,1000,0,579.7,1.94,0.92,1.44,358.3,600
0,open,1000,0,600.6,1.67,0.69,1.11,416.3,600
1,query,1000,0,599.2,0.02,0.0,0.0,598.4,600
2,transfer,1000,0,594.5,2.24,0.15,1.45,355.0,600
0,open,1000,0,594.9,1.69,0.68,1.13,409.5,600
1,query,1000,0,593.5,0.02,0.0,0.0,593.1,600
2,transfer,1000,0,601.0,2.18,0.13,1.48,358.0,600
0,open,1000,0,597.0,1.59,0.65,1.16,413.4,600
1,query,1000,0,598.4,0.02,0.0,0.0,598.1,600
2,transfer,1000,0,601.7,2.16,0.24,1.46,342.7,600
0,open,1000,0,701.3,1.74,0.85,1.27,432.7,700
1,query,1000,0,692.0,0.01,0.0,0.0,690.6,700
2,transfer,1000,0,691.1,1.92,0.89,1.42,383.3,700
0,open,1000,0,699.8,1.71,0.78,1.25,422.1,700
1,query,1000,0,696.4,0.02,0.0,0.0,695.9,700
2,transfer,1000,0,690.6,2.01,0.73,1.4,379.5,700
0,open,1000,0,695.9,1.72,0.74,1.23,435.7,700
1,query,1000,0,693.5,0.03,0.0,0.0,692.0,700
2,transfer,1000,0,699.8,2.01,0.95,1.38,388.2,700
0,open,1000,0,701.3,1.75,0.79,1.29,426.4,700
1,query,1000,0,698.8,0.01,0.0,0.0,698.3,700
2,transfer,1000,0,702.2,2.21,0.83,1.4,365.9,700
0,open,1000,0,700.8,1.75,0.85,1.31,418.8,700
1,query,1000,0,694.9,0.03,0.0,0.0,694.0,700
2,transfer,1000,0,699.3,2.11,0.81,1.38,382.8,700
0,open,1000,0,793.0,1.79,0.97,1.3,421.8,800
1,query,1000,0,798.1,0.01,0.0,0.0,797.4,800
2,transfer,1000,0,795.5,1.67,0.89,1.36,425.4,800
0,open,1000,0,798.7,1.81,0.94,1.29,447.0,800
1,query,1000,0,793.0,0.02,0.0,0.0,789.9,800
2,transfer,1000,0,800.6,1.86,1.11,1.49,396.7,800
0,open,1000,0,802.6,1.73,0.91,1.29,445.2,800
1,query,1000,0,798.1,0.01,0.0,0.0,797.4,800
2,transfer,1000,0,797.4,1.85,1.09,1.43,405.5,800
0,open,1000,0,796.2,1.74,1.0,1.33,423.5,800
1,query,1000,0,797.4,0.01,0.0,0.0,796.8,800
2,transfer,1000,0,800.0,1.84,1.09,1.44,388.2,800
0,open,1000,0,796.2,1.69,0.94,1.26,452.9,800
1,query,1000,0,797.4,0.01,0.0,0.0,796.2,800
2,transfer,1000,0,798.1,1.95,1.07,1.47,395.9,800
0,open,1000,0,887.3,1.82,0.87,1.32,438.2,900
1,query,1000,0,896.9,0.03,0.0,0.0,894.5,900
2,transfer,1000,0,876.4,1.99,1.22,1.58,376.5,900
0,open,1000,0,900.9,1.75,0.8,1.35,440.1,900
1,query,1000,0,893.7,0.01,0.0,0.0,892.9,900
2,transfer,1000,0,899.3,2.19,1.4,1.71,375.1,900
0,open,1000,0,901.7,1.79,0.96,1.35,438.4,900
1,query,1000,0,881.8,0.01,0.0,0.0,881.1,900
2,transfer,1000,0,896.1,2.16,1.18,1.54,402.4,900
0,open,1000,0,887.3,1.83,1.03,1.35,445.8,900
1,query,1000,0,896.1,0.02,0.0,0.0,894.5,900
